product_name,categories_tags,countries_en,ingredients_text,additives_tags
Formula 1 healthy meal,"en:beverages-and-beverages-preparations,en:beverages,en:dairies,en:canned-foods,en:meals,en:dairy-drinks,en:flavoured-milks,en:dietary-supplements,en:milkshakes","France,United States","Soya protein isolate (40 %), fructose, emulsifier (soya lecithin), polydextrose, oat fiber, inulin, coffee powder, soya oil, thickeners (guar gum, carrageenan, xanthan gum, pectin), oat bran, flavourings, cocoa powder, milk protein concentrate, anti-caking agent (silicon dioxide), dextrose, calcium citrate, colour (ammonia caramel), calcium phosphate, sodium chloride, rapeseed oil, sweetener (acesulfame K), L-ascorbic acid, honey powder, DL-alpha-tocopheryl acetate, ferrous fumarate, magnesium oxide, nicotinamide, parsley powder (0.02 %), papaya powder (0.02 %) , zinc oxide, cupric gluconate, retinyl palmitate, calcium D-pantothenate, cholecalciferol, antioxidants (L-ascorbyl palmitate, DL-alpha-tocopherol), manganese carbonate, pyridoxine hydrochloride, cyanocobalamin, riboflavin, thiamin hydrochloride, pteroylmonoglutamic acid, potassium iodide, sodium selenite, D-biotin. Allergy advice: for allergens, including cereals containing gluten, see ingredients in bold.","en:e1200,en:e150c,en:e304,en:e304i,en:e307c,en:e322,en:e322i,en:e407,en:e412,en:e415,en:e440,en:e551,en:e950"
Tiramisu cappuccino,"en:dairies,en:snacks,en:desserts,en:sweet-snacks,en:dairy-desserts,en:biscuits-and-cakes,en:pastries,en:tiramisu,en:coffee-tiramisu",France,"Lait écrémé reconstitué, sirop de glucose, huile de coco, sucre, protéines de lait, farine de blé, œufs, mascarpone 2,2% (crème, correcteur d'acidité : acide lactique), alcool, jaune d'œufs, épaississants: carraghénanes (extrait d'algues) - farine de graines de caroube - alginate de sodium - gomme xanthane, café soluble 0,8%, amidon (tapioca et blé), vin Marsala 0,6%, cacao en poudre 0,5%, dextrose, émulsifiant : E472b, cacao maigre en poudre, arômes, beurre de cacao, extrait de café, poudre à lever (E450, E500, farine de blé). Peut contenir des traces de soja de fruits à coque. Teneur en alcool : 1,5%. œufs de poules élevées au sol.","en:e270,en:e401,en:e407,en:e415,en:e450,en:e472b,en:e500"
Butter Powder,"en:dairies,en:fats,en:spreads,en:spreadable-fats,en:animal-fats,en:dairy-spreads,en:milkfat,en:butters","Germany,Ireland","Butter, nonfat milk, INS 307, INS 304","en:e304,en:e307"
Low fat milk alternative,"en:plant-based-foods-and-beverages,en:dairy-substitutes,en:milk-substitutes,en:creamer",United States,"Sweet whey, creamer (coconut oil, corn syrup solids, sodium caseinate [a milk derivative], dipotassium phosphate, sugar, mono and diglycerides, polysorbate 80, sodium silicoaluminate, tetrasodium pyrophosphate, soy lecithin), nonfat milk, sugar, guar gum, vitamin a, vitamin d.","en:e322,en:e322i,en:e340,en:e340ii,en:e412,en:e433,en:e450,en:e450iii,en:e471,en:e554"
Chocolate morning moo's,"en:plant-based-foods-and-beverages,en:dairy-substitutes,en:milk-substitutes,en:creamer",United States,"Sugar, creamer (coconut oil, corn syrup solids, sodium caseinate [a milk derivative], dipotassium phosphate, sugar, mono and diglycerides, polysorbate 80, sodium silicoaluminate, tetrasodium pyrophosphate, soy lecithin), nonfat dry milk, dutched cocoa (processed with alkali), sweet whey, natural cream flavor (maltodextrin, natural cream flavor), salt, carrageenan gum, xanthan gum, cellulose gum, vitamin a, vitamin d.","en:e322,en:e322i,en:e340,en:e340ii,en:e415,en:e433,en:e450,en:e450iii,en:e466,en:e471,en:e554"
"Low fat yogurt, vanilla","en:dairies,en:fermented-foods,en:fermented-milk-products,en:desserts,en:dairy-desserts,en:fermented-dairy-desserts,en:yogurts",United States,"Cultured grade a nonfat milk, vanilla base (cane sugar, water, modified corn starch, vanilla flavor with other natural flavors, citric acid, potassium sorbate), sucrose, nonfat dry milk, corn syrup, stabilizer (modified food starch, grade a whey protein concentrate, carrageenan, pectin), grade a cream.","en:e202,en:e330,en:e407,en:e440"
Tiramisu cheescake,"en:plant-based-foods-and-beverages,en:snacks,en:dairy-substitutes,en:desserts,en:sweet-snacks,en:non-dairy-desserts,en:biscuits-and-cakes,en:cakes,en:cheesecakes",United Kingdom,"Unsweetened Soya Milk [Water, Soya Beans, Calcium, Natural Flavouring, Stabiliser: Gellan Gum, Vitamins (B2, B12, D2)], Cashew, Maple Syrup, Oats, Coconut Milk, Ground Almonds, Coconut Oil, Dark Chocolate (6%) [Organic Cocoa Mass (67%), Organic Coconut Sugar, Organic Cocoa Butter], Cocoa Powder, Lemon Juice, Vanilla Extract (1.0%), Coffee (0.3%), Sea Salt",en:e418
Almondmilk Creamer with Coconut,"en:plant-based-foods-and-beverages,en:dairy-substitutes,en:milk-substitutes,en:creamer",United States,"Almondmilk (water, almonds), coconut cream, sunflower lecithin, natural flavors, calcium carbonate, sea salt, potassium citrate, locust bean gum, gellan gum","en:e322,en:e322i,en:e410,en:e418"
Mila Yogurt da bere Fragola,"en:dairies,en:fermented-foods,en:fermented-milk-products,en:desserts,en:dairy-desserts,en:fermented-dairy-desserts,en:fermented-dairy-desserts-with-fruits,en:yogurts,en:fruit-yogurts,en:strawberry-yogurts",Italy,"Yogurt, preparazione alla fragola 7% (zucchero, fragole 37,5%, aromi, addensante: pectina, succo concentrato di sambuco, correttore di acidità: acido citrico), zucchero.","en:e330,en:e440"
Chobani Yogurt Griego Bebible Core Fresa Platano,"en:dairies,en:fermented-foods,en:fermented-milk-products,en:desserts,en:dairy-desserts,en:fermented-dairy-desserts,en:yogurts",Mexico,"Leche semidescremada pasteurizada 12,5% preparado de fresa plátano [4,2% puré de fresa, agua, azúcares añadidos (azúcar de caña, jugo de zanahoria negra concentrado, jugo de limón concentrado), 1,4% puré de plátano, pectina de frutas, saborizantes naturales, fibra de raíz de achicoria, goma garrofín]. Contiene leche. Contiene cultivos vivos y activos: Lactobacillus Bulgaricus, Streptococcus Thermophilus, Lactobacillus Paracasei Subsp. Paracasei, Subsp. Lactis, Lactobacillus Rhamnosus. Lactobacillus Acidophilus, Bifidobacterium Animals Fuente de calcio y proteínas.","en:e410,en:e440"
