product_name,categories_tags,countries_en,ingredients_text,additives_tags
xxx,"en:beverages-and-beverages-preparations,en:beverages,en:snacks,en:desserts,en:sweet-snacks,en:biscuits-and-cakes,en:biscuits-and-crackers,en:biscuits,en:cakes,en:pound-cake,en:madeleines,en:plain-madeleines",Germany,"Farine de blé 33%, sucre, huile de colza, œufs de poules élevées en plein air 18%, sirop de glucose-fructose, Un stabilisant : glycérol, poudres à lever : carbonates d'ammonium-carbonates de sodium - citrates de sodium (blé), sel, gluten de blé, lait écrémé en poudre, fibres végétales, arôme naturel.","en:e331,en:e422,en:e503"
Madeleines ChocoLait,"en:snacks,en:sweet-snacks,en:biscuits-and-cakes,en:cakes,en:chocolate-cakes,en:madeleines,en:chocolate-madeleines",France,"Farine de blé 27%, chocolat au lait 18% (sucre, beurre de cacao, lait entier en poudre, pâte de cacao, émulsifiant : lécithines (soja), arôme naturel de vanille), sucre, huile de colza, œufs de poules élevées en plein air 14.5%, sirop de glucose-fructose, stabilisant : glycérol, poudres à lever : carbonates d'ammonium - carbonates de sodium - citrates de sodium (blé), sel, gluten de blé, lait écrémé en poudre, fibres végétales, arôme naturel. Peut contenir des traces de fruits à coque.","en:e322,en:e322i,en:e331,en:e422,en:e500,en:e503"
Farandole de madeleine,"en:snacks,en:sweet-snacks,en:biscuits-and-cakes,en:cakes,en:chocolate-cakes,en:madeleines,en:chocolate-madeleines,en:long-madeleines",Brazil,"Madeleines ChocoNoir - Madeleines nappées de chocolat noir : farine de blé 27%, chocolat noir 18% (pâte de cacao, sucre, beurre de cacao, matière grasse laitière anhydre, émulsifiant : lécithines (soja), arôme naturel de vanille), sucre, huile de colza, œufs de poules élevées en plein air 14.5%, sirop de glucose-fructose, stabilisant : glycérol, poudres à lever : carbonates d'ammonium - carbonates de sodium - citrates de sodium (blé), sel, gluten de blé, lait écrémé en poudre, fibres végétales, arôme naturel. Peut contenir des traces de fruits à coque. Toutes vos remarques et suggestions sont les bienvenues : contactez notre Service Qualité en indiquant le nom et le numéro du lot du produit concerné figurant sur le dessus de la boîte. Pour conserver toutes les qualités de ce produit, le maintenir dans un milieu tempéré à l'abri de la chaleur, de l'humidité et du froid.","en:e322,en:e322i,en:e331,en:e422,en:e500,en:e503"
Calcium,"en:snacks,en:sweet-snacks,en:biscuits-and-cakes,en:cakes,en:chocolate-cakes,en:molten-chocolate-cakes",France,"Sucre, blanc d'œufs 19%, beurre concentré, chocolat noir 12.5% (pâte de cacao, sucre, beurre de cacao, matière grasse laitière anhydre, émulsifiant: lécithines (soja), arôme naturel de vanille), poudre d'amande 12%, farine de blé 11%, ceufs 5.5%, sirop de glucose-fructose, stabilisant : glycérol, cacao maigre en poudre, sel, arôme naturel de cacao. Peut contenir des traces d'autres fruits à coque.","en:e322,en:e322i,en:e422"
30 Panach' Fruits,"en:beverages-and-beverages-preparations,en:beverages,en:snacks,en:sweet-snacks,en:biscuits-and-cakes,en:cakes,fr:gouters-individuels","France,Germany","Pâtisseries fourrées à la pulpe de pêche : farine de blé, fourrage pêche 20% (sirop de glucose-fructose, purée de pêche 50%*, sucre, gélifiant : pectines, correcteurs d’acidité : acide citrique - citrates de sodium, arômes, conservateur : sorbate de potassium), huile de colza, œufs frais, sucre, sirop de glucose-fructose, stabilisant : glycérol, poudres à lever : carbonates d’ammonium - carbonates de sodium - diphosphates (blé), sel, lait écrémé en poudre, émulsifiants : mono et diglycérides d’acides gras, arôme. *% exprimé sur le fourrage équivalent à 10% sur l’ensemble du produit. Pâtisseries fourrées à la pulpe d'abricot : farine de blé, fourrage abricot 20% (sirop de glucose-fructose, purée d'abricot 50%*, sucre, gélifiant : pectines, correcteurs d’acidité : acide citrique - citrates de sodium, arômes, conservateur : sorbate de potassium), huile de colza, œufs frais, sucre, sirop de glucose-fructose, stabilisant : glycérol, poudres à lever : carbonates d’ammonium - carbonates de sodium - diphosphates (blé), sel, lait écrémé en poudre, émulsifiants : mono et diglycérides d’acides gras, arôme. *% exprimé sur le fourrage équivalent à 10% sur l’ensemble du produit. Pâtisseries fourrées à la pulpe de fruits rouges : farine de blé, fourrage fruits rouges 20% (sirop de glucose-fructose, purée de fraise 17.8%*, sucre, purée de framboise concentrée 5%* (équivalent à 21.2%* de purée de framboise), purée de cerise concentrée 3%* (équivalent à 11%* de purée de cerise), gélifiant : pectines, correcteurs d’acidité : acide citrique - citrates de sodium, arôme, conservateur : sorbate de potassium), huile de colza, œufs frais, sucre, sirop de glucose-fructose, stabilisant : glycérol, poudres à lever : carbonates d’ammonium - carbonates de sodium - diphosphates (blé), sel, lait écrémé en poudre, émulsifiants : mono et diglycérides d’acides gras, arôme. *soit un équivalent de 50% de purée de fruits sur le fourrage équivalent à 10% sur l’ensemble du produit.","en:e202,en:e330,en:e331,en:e422,en:e440,en:e450,en:e471,en:e500,en:e503"
madeleine Bijou ChocoPépites,"en:snacks,en:sweet-snacks,en:biscuits-and-cakes,en:cakes,en:madeleines",France,"Farine de _blé_, pépites de chocolat 18% (sucre, pâte et beurre de cacao, émulsifiant lécithines (tournesol), arôme), huile de colza, sucre, _oeufs frais_, sirop de glucose-fructose, stabilisant: glycérol, poudres à lever: carbonates d'ammonium - carbonates de sodium - diphosphates (_blé_), arôme, émulsifiants mono et diglycérides d'acides gras, sel, lait écrémé en poudre, épaississant gomme xanthane. Peut contenir des traces de _soja_ et de _fruits à coque_.","en:e322,en:e322i,en:e415,en:e422,en:e450,en:e471,en:e500,en:e503"
Bijou Caramel ChocoLait,"en:snacks,en:sweet-snacks,en:biscuits-and-cakes,en:cakes,en:pastries,en:chocolate-cakes,en:filled-cakes",France,"Farine de _blé_, fourrage lait et caramel 17% (sirop de glucose-fructose, _lait_ concentré sucré 20%*, stabilisant : glycérol, caramel 2.5%*, sel, arôme, gélifiant : pectines, conservateur : sorbate de potassium), huile de colza, _œufs_ frais, sucre, chocolat au lait 11% (sucre, beurre de cacao, poudre de _lait_ entier, pâte de cacao, émulsifiant : lécithines (_soja_), arôme), sirop de glucose-fructose, stabilisant : glycérol, poudres à lever : carbonates d'ammonium - carbonates de sodium - diphosphates (_blé_), sel, émulsifiants : mono et diglycérides d’acides gras, _lait_ écrémé en poudre, arôme. *% exprimés sur le fourrage équivalent respectivement à 3.4% et 0.4% sur l’ensemble du produit.","en:e202,en:e322,en:e422,en:e440,en:e450,en:e471,en:e500,en:e503"
biscuits cuillers,"en:snacks,en:sweet-snacks,en:biscuits-and-cakes,en:biscuits,en:pastries,en:dry-biscuits,en:sponge-fingers-biscuit",France,"Sucre, œufs frais (34%), farine de blé, sirop de sucre inverti, stabilisant glycérol, arôme, sel, acidifiant tartrates de potassium, épaississant : gomme xanthane.","en:e336,en:e415,en:e422"
Assortiments de Tuiles et Palets gourmants au chocolat,"en:snacks,en:sweet-snacks,en:biscuits-and-cakes,en:biscuits",France,"chocolat noir, lécithine de soja, éclats de noisettes, raisins, chocolat blanc...","en:e322,en:e322i"
Cigarettes Fourrées Chocolat Noisettes,"en:snacks,en:sweet-snacks,en:biscuits-and-cakes,en:biscuits-and-crackers,en:biscuits,en:non-food-products,en:cigarettes,fr:biscuit-patissier-fourres-chocolat-noisette","France,Germany","Fourrage chocolat noisette 55% (chocolat en poudre 44.5%* (sucre, cacao en poudre), graisses de coprah et de palmiste, sucre,_noisette_7,5%';, _lait_écrémé en poudre, émulsifiant : lécithines (_soja_), arôme), farine de blé, sucre, fructose,_lait_écrémé en poudre, graisse de coprah, colorant: caramel ordinaire, émulsifiant: lécithines (_soja_), sel.  *exprimés sur le fourrage équivalent respectivement à 24,4% et 4,1% sur l'ensemble du produit.","en:e150a,en:e322"
